,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
2,1577059200,49d3fa,47.85456848144531,19.22380828857422,225.3065041106806,123.07322736129572,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059198.926,1577059200.0
2975,1577059210,49d3fa,47.84275817871094,19.250587463378906,224.01481553433229,123.28863869663981,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059209.6379998,1577059209.982
8761,1577059220,49d3fa,47.83163296974311,19.275723970853363,222.44275399844392,123.39605712642953,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059219.814,1577059219.9989998
13092,1577059230,49d3fa,47.82092595504502,19.29987980769231,220.58792440418162,123.39358489664288,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059229.641,1577059229.9889998
18738,1577059240,49d3fa,47.80975341796875,19.32530329777644,218.750638568394,122.90524292298792,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059239.995,1577059239.995
25084,1577059250,49d3fa,47.799372268935386,19.34917743389423,217.6073796270678,122.93869054295547,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059249.7289999,1577059249.9910002
28777,1577059260,49d3fa,47.7886962890625,19.37377166748047,217.3280840374418,122.82486545009495,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059259.776,1577059259.986
34142,1577059270,49d3fa,47.77828410520392,19.397911658653843,217.20566505717355,122.5232320399473,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059269.684,1577059269.9329998
41712,1577059280,49d3fa,47.76750183105469,19.423072814941406,217.20566505717355,122.5232320399473,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059280.0,1577059280.0
44991,1577059290,49d3fa,47.757056284758995,19.44706843449519,216.89595984556271,122.89853145768964,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059289.88,1577059289.9970002
51323,1577059300,49d3fa,47.74639582229873,19.471294696514423,217.0258703641894,123.20037193285057,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10660.38,10447.02,1577059299.9629998,1577059299.99
57375,1577059310,49d3fa,47.73573535983846,19.495520958533653,217.1758111625265,123.0124880565395,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059309.955,1577059309.9889998
63574,1577059320,49d3fa,47.72547912597656,19.519065856933594,217.1758111625265,123.0124880565395,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059319.651,1577059319.783
67854,1577059330,49d3fa,47.71481323242188,19.54330444335937,217.3079901306528,123.3138695210422,-0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059329.684,1577059329.998
75407,1577059340,49d3fa,47.70440570378707,19.566791240985573,217.73808115123782,123.23952022419556,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059339.339,1577059339.9589999
79522,1577059350,49d3fa,47.69351248013771,19.591580904447113,218.31890561631667,122.97858788171963,0.0,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059349.539,1577059350.0
86044,1577059360,49d3fa,47.68267822265625,19.616226196289066,219.0305367782541,123.01822598634728,0.0,FDB1782 ,False,False,False,1421.0,10660.38,10454.64,1577059359.6420002,1577059359.994
91959,1577059370,49d3fa,47.67223810745498,19.639892578125,219.16280470725616,123.31705339818184,0.32511999999999996,FDB1782 ,False,False,False,1421.0,10668.0,10454.64,1577059369.395,1577059369.994
